"filename", "language", "JavaScript", "JSON", "YAML", "Handlebars", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/countdown.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/easypie.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 0, 93, 54, 373
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/imageloaded.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/isotop.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/jquery-appear.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 34, 35, 151
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/jquery-one-page-nav.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 40, 42, 223
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/jquery-ui.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 3, 8
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/jquery.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/magnify-popup.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/magnify.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/modernizr.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 2, 3, 6
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/odometer.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/paralax-scroll.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 5, 4, 186
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/paralax.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/sal.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/swiper.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 11, 2, 14
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/text-type.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 0, 9, 22, 185
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/waypoint.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 10, 4, 15
"/home/master/Vidventures WebApp./public/user/assets/js/vendor/wow.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"/home/master/Vidventures WebApp./public/user/assets/scss/blog/_blog-details.scss", "SCSS", 0, 0, 0, 0, 0, 0, 326, 0, 14, 42, 382
"/home/master/Vidventures WebApp./public/user/assets/scss/blog/_blog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 14, 0, 3, 24, 41
"/home/master/Vidventures WebApp./public/user/assets/scss/blog/_post-default.scss", "SCSS", 0, 0, 0, 0, 0, 0, 126, 0, 4, 10, 140
"/home/master/Vidventures WebApp./public/user/assets/scss/blog/_sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 151, 0, 3, 8, 162
"/home/master/Vidventures WebApp./public/user/assets/scss/blog/_unit-test.scss", "SCSS", 0, 0, 0, 0, 0, 0, 65, 0, 3, 21, 89
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_animations.scss", "SCSS", 0, 0, 0, 0, 0, 0, 91, 0, 1, 18, 110
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_edu-common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 604, 0, 50, 103, 757
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_extend.scss", "SCSS", 0, 0, 0, 0, 0, 0, 334, 0, 27, 97, 458
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 259, 0, 19, 50, 328
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 293, 0, 4, 57, 354
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_shortcode.scss", "SCSS", 0, 0, 0, 0, 0, 0, 513, 0, 36, 114, 663
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_spacing.scss", "SCSS", 0, 0, 0, 0, 0, 0, 508, 0, 3, 142, 653
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_text-animation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1128, 0, 58, 205, 1391
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 398, 0, 9, 48, 455
"/home/master/Vidventures WebApp./public/user/assets/scss/default/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 128, 0, 24, 55, 207
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_404.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 3, 22, 44
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_about.scss", "SCSS", 0, 0, 0, 0, 0, 0, 134, 0, 4, 30, 168
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_accordion.scss", "SCSS", 0, 0, 0, 0, 0, 0, 272, 0, 9, 62, 343
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_advance-tab.scss", "SCSS", 0, 0, 0, 0, 0, 0, 299, 0, 10, 16, 325
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_backtotop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 109, 0, 3, 11, 123
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_badge.scss", "SCSS", 0, 0, 0, 0, 0, 0, 194, 0, 18, 20, 232
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_brand.scss", "SCSS", 0, 0, 0, 0, 0, 0, 152, 0, 5, 12, 169
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_brands.scss", "SCSS", 0, 0, 0, 0, 0, 0, 117, 0, 1, 4, 122
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_breadcrumb.scss", "SCSS", 0, 0, 0, 0, 0, 0, 297, 0, 16, 47, 360
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_button.scss", "SCSS", 0, 0, 0, 0, 0, 0, 792, 0, 26, 118, 936
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_callto-action.scss", "SCSS", 0, 0, 0, 0, 0, 0, 197, 0, 6, 23, 226
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_card-example.scss", "SCSS", 0, 0, 0, 0, 0, 0, 503, 0, 0, 27, 530
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 558, 0, 3, 39, 600
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_cart.scss", "SCSS", 0, 0, 0, 0, 0, 0, 372, 0, 6, 26, 404
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_category-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 382, 0, 3, 33, 418
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_category.scss", "SCSS", 0, 0, 0, 0, 0, 0, 54, 0, 3, 7, 64
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_check-blog-section.scss", "SCSS", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 64
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_checkout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 168, 0, 9, 19, 196
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_connect-area.scss", "SCSS", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 105
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_contact.scss", "SCSS", 0, 0, 0, 0, 0, 0, 155, 0, 1, 6, 162
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_countdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 45, 0, 3, 1, 49
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_counterdown-area.scss", "SCSS", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 97
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_counterup.scss", "SCSS", 0, 0, 0, 0, 0, 0, 343, 0, 7, 39, 389
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_course-filter.scss", "SCSS", 0, 0, 0, 0, 0, 0, 328, 0, 9, 40, 377
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_course-meta.scss", "SCSS", 0, 0, 0, 0, 0, 0, 137, 0, 4, 11, 152
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_feature.scss", "SCSS", 0, 0, 0, 0, 0, 0, 136, 0, 3, 17, 156
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_image-gallery.scss", "SCSS", 0, 0, 0, 0, 0, 0, 64, 0, 3, 24, 91
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_instagram.scss", "SCSS", 0, 0, 0, 0, 0, 0, 67, 0, 3, 9, 79
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 324, 0, 13, 28, 365
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_modal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 82, 0, 3, 8, 93
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_newsletterform.scss", "SCSS", 0, 0, 0, 0, 0, 0, 92, 0, 7, 13, 112
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 45, 0, 3, 0, 48
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_portfolio.scss", "SCSS", 0, 0, 0, 0, 0, 0, 150, 0, 6, 24, 180
"/home/master/Vidventures WebApp./public/user/assets/scss/elements/_pricingtable.scss", "SCSS", 0, 0, 0, 0, 0, 0, 319, 0, 7, 7, 333
